City,Barangay,Population
Manila,Barangay 1,"2,995"
Manila,Barangay 2,"1,887"
Manila,Barangay 3,"1,341"
Manila,Barangay 4,"1,691"
Manila,Barangay 5,"1,288"
Manila,Barangay 6,771
Manila,Barangay 7,"1,560"
Manila,Barangay 8,147
Manila,Barangay 9,447
Manila,Barangay 10,160
Manila,Barangay 11,"2,758"
Manila,Barangay 12,"2,137"
Manila,Barangay 13,"2,371"
Manila,Barangay 14,"2,070"
Manila,Barangay 15,"1,119"
Manila,Barangay 16,"1,477"
Manila,Barangay 17,"1,176"
Manila,Barangay 18,"1,982"
Manila,Barangay 19,"2,272"
Manila,Barangay 20,"45,772"
Manila,Barangay 25,"2,545"
Manila,Barangay 26,"2,555"
Manila,Barangay 28,"2,787"
Manila,Barangay 29,"4,406"
Manila,Barangay 30,166
Manila,Barangay 31,"2,881"
Manila,Barangay 32,"2,219"
Manila,Barangay 33,"4,082"
Manila,Barangay 34,"1,854"
Manila,Barangay 35,"2,265"
Manila,Barangay 36,"2,231"
Manila,Barangay 37,"2,057"
Manila,Barangay 38,"2,870"
Manila,Barangay 39,"2,324"
Manila,Barangay 41,"3,825"
Manila,Barangay 42,"2,142"
Manila,Barangay 43,"3,362"
Manila,Barangay 44,800
Manila,Barangay 45,"2,264"
Manila,Barangay 46,"2,088"
Manila,Barangay 47,"1,123"
Manila,Barangay 48,"4,070"
Manila,Barangay 49,"2,119"
Manila,Barangay 50,"4,217"
Manila,Barangay 51,"2,580"
Manila,Barangay 52,"2,732"
Manila,Barangay 53,"2,916"
Manila,Barangay 54,"1,648"
Manila,Barangay 55,"2,492"
Manila,Barangay 56,"3,457"
Manila,Barangay 57,882
Manila,Barangay 58,"3,719"
Manila,Barangay 59,"1,112"
Manila,Barangay 60,"4,503"
Manila,Barangay 61,"1,022"
Manila,Barangay 62,"1,967"
Manila,Barangay 63,"1,448"
Manila,Barangay 64,495
Manila,Barangay 65,"1,631"
Manila,Barangay 66,"2,956"
Manila,Barangay 67,"4,083"
Manila,Barangay 68,"1,115"
Manila,Barangay 69,"1,968"
Manila,Barangay 70,"2,344"
Manila,Barangay 71,"3,417"
Manila,Barangay 72,"3,233"
Manila,Barangay 73,"2,478"
Manila,Barangay 74,"1,039"
Manila,Barangay 75,"1,350"
Manila,Barangay 76,"1,844"
Manila,Barangay 77,"1,372"
Manila,Barangay 78,"1,221"
Manila,Barangay 79,"1,520"
Manila,Barangay 80,"2,553"
Manila,Barangay 81,"1,815"
Manila,Barangay 82,"2,642"
Manila,Barangay 83,"1,473"
Manila,Barangay 84,"1,141"
Manila,Barangay 85,"4,032"
Manila,Barangay 86,"1,415"
Manila,Barangay 87,"1,633"
Manila,Barangay 88,"1,096"
Manila,Barangay 89,720
Manila,Barangay 90,630
Manila,Barangay 91,"4,552"
Manila,Barangay 92,"2,639"
Manila,Barangay 93,"3,960"
Manila,Barangay 94,"2,178"
Manila,Barangay 95,"5,543"
Manila,Barangay 96,"2,100"
Manila,Barangay 97,"3,634"
Manila,Barangay 98,"1,899"
Manila,Barangay 99,"6,310"
Manila,Barangay 100,"2,222"
Manila,Barangay 101,"15,358"
Manila,Barangay 102,"4,157"
Manila,Barangay 103,"4,772"
Manila,Barangay 104,"5,741"
Manila,Barangay 105,"24,971"
Manila,Barangay 106,"2,513"
Manila,Barangay 107,"7,003"
Manila,Barangay 108,"5,391"
Manila,Barangay 109,"3,254"
Manila,Barangay 110,"2,677"
Manila,Barangay 111,"2,661"
Manila,Barangay 112,"5,593"
Manila,Barangay 116,"5,943"
Manila,Barangay 117,"4,160"
Manila,Barangay 118,"10,840"
Manila,Barangay 119,"2,345"
Manila,Barangay 120,"3,873"
Manila,Barangay 121,"4,511"
Manila,Barangay 122,"3,824"
Manila,Barangay 123,"8,660"
Manila,Barangay 124,159
Manila,Barangay 125,"4,510"
Manila,Barangay 126,"1,162"
Manila,Barangay 127,565
Manila,Barangay 128,"23,702"
Manila,Barangay 129,"5,716"
Manila,Barangay 130,"1,758"
Manila,Barangay 131,"1,621"
Manila,Barangay 132,925
Manila,Barangay 133,"2,115"
Manila,Barangay 134,"1,058"
Manila,Barangay 135,"1,935"
Manila,Barangay 136,"1,197"
Manila,Barangay 137,911
Manila,Barangay 138,"2,939"
Manila,Barangay 139,371
Manila,Barangay 140,543
Manila,Barangay 141,529
Manila,Barangay 142,"1,710"
Manila,Barangay 143,"1,401"
Manila,Barangay 144,880
Manila,Barangay 145,"1,029"
Manila,Barangay 146,"2,895"
Manila,Barangay 147,"2,275"
Manila,Barangay 148,"2,333"
Manila,Barangay 149,"1,554"
Manila,Barangay 150,"2,277"
Manila,Barangay 151,"1,639"
Manila,Barangay 152,"6,218"
Manila,Barangay 153,"2,051"
Manila,Barangay 154,948
Manila,Barangay 155,"3,257"
Manila,Barangay 156,"1,615"
Manila,Barangay 157,"1,505"
Manila,Barangay 158,"1,934"
Manila,Barangay 159,"1,558"
Manila,Barangay 160,"1,256"
Manila,Barangay 161,"1,004"
Manila,Barangay 162,556
Manila,Barangay 163,"3,840"
Manila,Barangay 164,"1,807"
Manila,Barangay 165,"1,014"
Manila,Barangay 166,882
Manila,Barangay 167,926
Manila,Barangay 168,"1,387"
Manila,Barangay 169,914
Manila,Barangay 170,"1,378"
Manila,Barangay 171,"1,124"
Manila,Barangay 172,"1,210"
Manila,Barangay 173,"1,616"
Manila,Barangay 174,715
Manila,Barangay 175,988
Manila,Barangay 176,"1,278"
Manila,Barangay 177,"3,308"
Manila,Barangay 178,"1,519"
Manila,Barangay 179,"1,021"
Manila,Barangay 180,"2,145"
Manila,Barangay 181,"2,773"
Manila,Barangay 182,"3,936"
Manila,Barangay 183,"8,424"
Manila,Barangay 184,"3,311"
Manila,Barangay 185,"3,532"
Manila,Barangay 186,"1,678"
Manila,Barangay 187,886
Manila,Barangay 188,865
Manila,Barangay 189,"1,481"
Manila,Barangay 190,"1,232"
Manila,Barangay 191,703
Manila,Barangay 192,"1,878"
Manila,Barangay 193,979
Manila,Barangay 194,775
Manila,Barangay 195,"1,401"
Manila,Barangay 196,"1,631"
Manila,Barangay 197,523
Manila,Barangay 198,"5,032"
Manila,Barangay 199,"3,471"
Manila,Barangay 200,"1,666"
Manila,Barangay 201,"1,152"
Manila,Barangay 202,"1,420"
Manila,Barangay 202-A,"1,213"
Manila,Barangay 203,"2,462"
Manila,Barangay 204,"2,684"
Manila,Barangay 205,"1,760"
Manila,Barangay 206,"2,433"
Manila,Barangay 207,"1,541"
Manila,Barangay 208,635
Manila,Barangay 209,"5,075"
Manila,Barangay 210,"3,212"
Manila,Barangay 211,"2,007"
Manila,Barangay 212,"2,675"
Manila,Barangay 213,"3,231"
Manila,Barangay 214,"1,577"
Manila,Barangay 215,"3,106"
Manila,Barangay 216,"2,431"
Manila,Barangay 217,"1,263"
Manila,Barangay 218,321
Manila,Barangay 219,"1,080"
Manila,Barangay 220,"1,270"
Manila,Barangay 221,"3,353"
Manila,Barangay 222,"2,040"
Manila,Barangay 223,"1,629"
Manila,Barangay 224,"1,069"
Manila,Barangay 225,"2,419"
Manila,Barangay 226,"1,562"
Manila,Barangay 227,"1,836"
Manila,Barangay 228,"3,010"
Manila,Barangay 229,"1,545"
Manila,Barangay 230,"2,364"
Manila,Barangay 231,"1,888"
Manila,Barangay 232,"1,778"
Manila,Barangay 233,735
Manila,Barangay 234,"1,945"
Manila,Barangay 235,"1,557"
Manila,Barangay 236,801
Manila,Barangay 237,452
Manila,Barangay 238,364
Manila,Barangay 239,"1,785"
Manila,Barangay 240,56
Manila,Barangay 241,447
Manila,Barangay 242,448
Manila,Barangay 243,436
Manila,Barangay 244,640
Manila,Barangay 245,281
Manila,Barangay 246,"1,254"
Manila,Barangay 247,737
Manila,Barangay 248,503
Manila,Barangay 249,"1,610"
Manila,Barangay 250,"1,182"
Manila,Barangay 251,"1,181"
Manila,Barangay 252,910
Manila,Barangay 253,"1,329"
Manila,Barangay 254,"3,713"
Manila,Barangay 255,"1,086"
Manila,Barangay 256,"1,030"
Manila,Barangay 257,"1,308"
Manila,Barangay 258,"1,181"
Manila,Barangay 259,"2,090"
Manila,Barangay 260,"1,645"
Manila,Barangay 261,735
Manila,Barangay 262,"1,736"
Manila,Barangay 263,"1,306"
Manila,Barangay 264,"2,443"
Manila,Barangay 265,125
Manila,Barangay 266,"1,665"
Manila,Barangay 267,"1,952"
Manila,Barangay 287,"2,546"
Manila,Barangay 288,"2,538"
Manila,Barangay 289,"1,017"
Manila,Barangay 290,"1,093"
Manila,Barangay 291,"2,279"
Manila,Barangay 292,"2,846"
Manila,Barangay 293,"3,565"
Manila,Barangay 294,"1,881"
Manila,Barangay 295,"1,531"
Manila,Barangay 296,"1,195"
Manila,Barangay 383,"2,267"
Manila,Barangay 384,"3,511"
Manila,Barangay 385,"3,406"
Manila,Barangay 386,"1,213"
Manila,Barangay 387,"2,654"
Manila,Barangay 388,"1,260"
Manila,Barangay 389,"1,174"
Manila,Barangay 390,792
Manila,Barangay 391,"2,558"
Manila,Barangay 392,695
Manila,Barangay 393,"4,073"
Manila,Barangay 394,"1,433"
Manila,Barangay 306,"1,248"
Manila,Barangay 307,"1,378"
Manila,Barangay 308,"1,033"
Manila,Barangay 309,"1,151"
Manila,Barangay 268,489
Manila,Barangay 269,904
Manila,Barangay 270,918
Manila,Barangay 271,633
Manila,Barangay 272,"1,064"
Manila,Barangay 273,825
Manila,Barangay 274,"1,944"
Manila,Barangay 275,"19,809"
Manila,Barangay 276,"2,543"
Manila,Barangay 281,"2,288"
Manila,Barangay 282,"2,458"
Manila,Barangay 283,"1,345"
Manila,Barangay 284,961
Manila,Barangay 285,"2,066"
Manila,Barangay 286,"4,710"
Manila,Barangay 297,"2,005"
Manila,Barangay 298,"1,020"
Manila,Barangay 299,"1,300"
Manila,Barangay 300,981
Manila,Barangay 301,448
Manila,Barangay 302,654
Manila,Barangay 303,641
Manila,Barangay 304,298
Manila,Barangay 305,645
Manila,Barangay 310,"13,602"
Manila,Barangay 311,"2,401"
Manila,Barangay 312,"3,328"
Manila,Barangay 313,"2,848"
Manila,Barangay 314,"2,064"
Manila,Barangay 315,"1,786"
Manila,Barangay 316,829
Manila,Barangay 317,"1,542"
Manila,Barangay 318,740
Manila,Barangay 319,"1,209"
Manila,Barangay 320,"1,300"
Manila,Barangay 321,240
Manila,Barangay 322,799
Manila,Barangay 323,"1,060"
Manila,Barangay 324,605
Manila,Barangay 325,522
Manila,Barangay 326,825
Manila,Barangay 327,"1,239"
Manila,Barangay 328,679
Manila,Barangay 329,439
Manila,Barangay 330,"2,244"
Manila,Barangay 331,924
Manila,Barangay 332,582
Manila,Barangay 333,877
Manila,Barangay 334,"1,461"
Manila,Barangay 335,"1,350"
Manila,Barangay 336,"2,134"
Manila,Barangay 337,"1,386"
Manila,Barangay 338,"1,378"
Manila,Barangay 339,"1,265"
Manila,Barangay 340,"2,009"
Manila,Barangay 341,"1,463"
Manila,Barangay 342,"1,634"
Manila,Barangay 343,"2,209"
Manila,Barangay 344,536
Manila,Barangay 345,"1,149"
Manila,Barangay 346,"1,511"
Manila,Barangay 347,"1,266"
Manila,Barangay 348,"1,249"
Manila,Barangay 349,788
Manila,Barangay 350,"6,776"
Manila,Barangay 351,"3,401"
Manila,Barangay 352,"1,342"
Manila,Barangay 353,"2,232"
Manila,Barangay 354,"1,810"
Manila,Barangay 355,970
Manila,Barangay 356,505
Manila,Barangay 357,736
Manila,Barangay 358,"1,029"
Manila,Barangay 359,410
Manila,Barangay 360,741
Manila,Barangay 361,715
Manila,Barangay 362,252
Manila,Barangay 363,559
Manila,Barangay 364,"1,985"
Manila,Barangay 365,"1,278"
Manila,Barangay 366,"1,193"
Manila,Barangay 367,"1,708"
Manila,Barangay 368,"1,337"
Manila,Barangay 369,"1,396"
Manila,Barangay 370,772
Manila,Barangay 371,842
Manila,Barangay 372,"4,136"
Manila,Barangay 373,"3,788"
Manila,Barangay 374,"3,277"
Manila,Barangay 375,"3,909"
Manila,Barangay 376,930
Manila,Barangay 377,578
Manila,Barangay 378,602
Manila,Barangay 379,654
Manila,Barangay 380,921
Manila,Barangay 381,"1,591"
Manila,Barangay 382,896
Manila,Barangay 395,"1,222"
Manila,Barangay 396,"1,666"
Manila,Barangay 397,"4,175"
Manila,Barangay 398,"3,068"
Manila,Barangay 399,"1,068"
Manila,Barangay 400,"1,504"
Manila,Barangay 401,"2,333"
Manila,Barangay 402,"2,758"
Manila,Barangay 403,630
Manila,Barangay 404,723
Manila,Barangay 405,999
Manila,Barangay 406,449
Manila,Barangay 407,"1,571"
Manila,Barangay 408,"1,768"
Manila,Barangay 409,"1,921"
Manila,Barangay 410,"2,424"
Manila,Barangay 411,"1,903"
Manila,Barangay 412,"1,890"
Manila,Barangay 413,"1,702"
Manila,Barangay 414,"1,716"
Manila,Barangay 415,884
Manila,Barangay 416,821
Manila,Barangay 417,"2,011"
Manila,Barangay 418,"2,835"
Manila,Barangay 419,"1,696"
Manila,Barangay 420,"3,134"
Manila,Barangay 421,"1,474"
Manila,Barangay 422,"2,304"
Manila,Barangay 423,"1,307"
Manila,Barangay 424,"1,900"
Manila,Barangay 425,"2,087"
Manila,Barangay 426,"1,786"
Manila,Barangay 427,495
Manila,Barangay 428,"1,304"
Manila,Barangay 429,"2,814"
Manila,Barangay 430,508
Manila,Barangay 431,700
Manila,Barangay 432,"3,436"
Manila,Barangay 433,464
Manila,Barangay 434,"1,173"
Manila,Barangay 435,592
Manila,Barangay 436,964
Manila,Barangay 437,899
Manila,Barangay 438,712
Manila,Barangay 439,"1,052"
Manila,Barangay 440,"1,004"
Manila,Barangay 441,856
Manila,Barangay 442,670
Manila,Barangay 443,"1,382"
Manila,Barangay 444,941
Manila,Barangay 445,931
Manila,Barangay 446,"1,002"
Manila,Barangay 447,"1,454"
Manila,Barangay 448,"1,375"
Manila,Barangay 449,"1,402"
Manila,Barangay 450,"1,835"
Manila,Barangay 451,"1,027"
Manila,Barangay 452,"1,039"
Manila,Barangay 453,"1,492"
Manila,Barangay 454,"1,153"
Manila,Barangay 455,"1,274"
Manila,Barangay 456,"1,530"
Manila,Barangay 457,"2,445"
Manila,Barangay 458,"1,462"
Manila,Barangay 459,752
Manila,Barangay 460,789
Manila,Barangay 461,863
Manila,Barangay 462,"1,528"
Manila,Barangay 463,830
Manila,Barangay 464,"2,954"
Manila,Barangay 465,762
Manila,Barangay 466,"1,237"
Manila,Barangay 467,"1,160"
Manila,Barangay 468,"1,300"
Manila,Barangay 469,"1,956"
Manila,Barangay 470,"2,260"
Manila,Barangay 471,"1,415"
Manila,Barangay 472,"1,122"
Manila,Barangay 473,"1,383"
Manila,Barangay 474,"1,655"
Manila,Barangay 475,"1,664"
Manila,Barangay 476,"1,268"
Manila,Barangay 477,"1,045"
Manila,Barangay 478,"1,129"
Manila,Barangay 479,"2,307"
Manila,Barangay 480,810
Manila,Barangay 481,"1,004"
Manila,Barangay 482,701
Manila,Barangay 483,"1,369"
Manila,Barangay 484,"1,777"
Manila,Barangay 485,"1,337"
Manila,Barangay 486,969
Manila,Barangay 487,"1,457"
Manila,Barangay 488,783
Manila,Barangay 489,"1,142"
Manila,Barangay 490,471
Manila,Barangay 491,813
Manila,Barangay 492,"1,107"
Manila,Barangay 493,"1,170"
Manila,Barangay 494,"2,318"
Manila,Barangay 495,"1,906"
Manila,Barangay 496,"1,177"
Manila,Barangay 497,"1,489"
Manila,Barangay 498,"1,033"
Manila,Barangay 499,"1,498"
Manila,Barangay 500,"2,562"
Manila,Barangay 501,845
Manila,Barangay 502,815
Manila,Barangay 503,"1,183"
Manila,Barangay 504,"1,312"
Manila,Barangay 505,"1,200"
Manila,Barangay 506,668
Manila,Barangay 507,"1,532"
Manila,Barangay 508,"1,006"
Manila,Barangay 509,"1,260"
Manila,Barangay 510,"1,134"
Manila,Barangay 511,"1,338"
Manila,Barangay 512,"2,473"
Manila,Barangay 513,"2,033"
Manila,Barangay 514,"2,283"
Manila,Barangay 515,"2,166"
Manila,Barangay 516,"1,087"
Manila,Barangay 517,"1,029"
Manila,Barangay 518,"1,908"
Manila,Barangay 519,"1,311"
Manila,Barangay 520,631
Manila,Barangay 521,"2,244"
Manila,Barangay 522,"1,091"
Manila,Barangay 523,"1,115"
Manila,Barangay 524,865
Manila,Barangay 525,"1,784"
Manila,Barangay 526,790
Manila,Barangay 527,"2,134"
Manila,Barangay 528,"1,433"
Manila,Barangay 529,935
Manila,Barangay 530,483
Manila,Barangay 531,956
Manila,Barangay 532,987
Manila,Barangay 533,913
Manila,Barangay 534,"1,096"
Manila,Barangay 535,"1,035"
Manila,Barangay 536,944
Manila,Barangay 537,"1,085"
Manila,Barangay 538,821
Manila,Barangay 539,"1,846"
Manila,Barangay 540,"1,951"
Manila,Barangay 541,485
Manila,Barangay 542,802
Manila,Barangay 543,822
Manila,Barangay 544,164
Manila,Barangay 545,883
Manila,Barangay 546,892
Manila,Barangay 547,"1,059"
Manila,Barangay 548,749
Manila,Barangay 549,867
Manila,Barangay 550,992
Manila,Barangay 551,959
Manila,Barangay 552,937
Manila,Barangay 553,"1,430"
Manila,Barangay 554,"1,551"
Manila,Barangay 555,"1,138"
Manila,Barangay 556,822
Manila,Barangay 557,"1,262"
Manila,Barangay 558,"1,260"
Manila,Barangay 559,"1,285"
Manila,Barangay 560,"1,103"
Manila,Barangay 561,"2,332"
Manila,Barangay 562,"2,583"
Manila,Barangay 563,"1,526"
Manila,Barangay 564,"1,430"
Manila,Barangay 565,"2,464"
Manila,Barangay 566,"2,160"
Manila,Barangay 567,"2,318"
Manila,Barangay 568,"1,847"
Manila,Barangay 569,"2,086"
Manila,Barangay 570,"2,002"
Manila,Barangay 571,"2,097"
Manila,Barangay 572,"1,856"
Manila,Barangay 573,947
Manila,Barangay 574,"1,479"
Manila,Barangay 575,"1,007"
Manila,Barangay 576,"3,603"
Manila,Barangay 577,985
Manila,Barangay 578,"1,100"
Manila,Barangay 579,"1,703"
Manila,Barangay 580,"2,008"
Manila,Barangay 581,"2,461"
Manila,Barangay 582,"1,563"
Manila,Barangay 583,"1,278"
Manila,Barangay 584,"3,411"
Manila,Barangay 585,"1,090"
Manila,Barangay 586,"5,105"
Manila,Barangay 587,"2,920"
Manila,Barangay 587-A,"1,277"
Manila,Barangay 588,989
Manila,Barangay 589,660
Manila,Barangay 590,"3,209"
Manila,Barangay 591,"2,498"
Manila,Barangay 592,"2,371"
Manila,Barangay 593,"1,775"
Manila,Barangay 594,636
Manila,Barangay 595,"4,198"
Manila,Barangay 596,"2,375"
Manila,Barangay 597,"1,672"
