,facility_name,facility_type,street,region,district,city,barangay,service_capability,bed_capacity,coordinates
0,A. ZARATE GENERAL HOSPITAL,Hospital,ATLAS COMPOUND NAGA ROAD,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF LAS PI?AS,PULANG LUPA DOS,Level 1,17,"(120.980515915737, 14.4690104246232)"
1,ACEBEDO GENERAL HOSPITAL,Hospital,"849 GEN. LUIS STREET, BAGBAGUIN",NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",CITY OF CALOOCAN,BARANGAY 175,Level 1,16,"(121.005092590193, 14.7187700341626)"
2,ADVENTIST MEDICAL CENTER MANILA,Hospital,1975 DONADA STREET,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",PASAY CITY,BARANGAY 35,Level 3,150,"(120.9952699, 14.555952)"
3,AIR FORCE GENERAL HOSPITAL,Hospital,COL. JESUS VILLAMOR AIR BASE,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",PASAY CITY,BARANGAY 183,Level 2,100,"(121.0200055, 14.5168894)"
4,ALABANG MEDICAL CENTER,Hospital,ALABANG-ZAPOTE ROAD,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF MUNTINLUPA,ALABANG,Level 1,18,"(121.0244792, 14.4277653)"
5,ALABANG MEDICAL CLINIC,Hospital,297 T. MONTILLANO STREET,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF MUNTINLUPA,ALABANG,Level 1,18,"(121.0499702, 14.4192377)"
6,ALABANG MEDICAL CLINIC - LAS PIÑAS BRANCH,Hospital,ALABANG-ZAPOTE RD. COR. MENDOZA ST. PELAYO VILLAGE,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF LAS PI?AS,TALON UNO,Level 1,18,"(120.996992734168, 14.4431677073501)"
7,ALABANG MEDICAL CLINIC - MUNTINLUPA BRANCH,Hospital,1 NATIONAL ROAD,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF MUNTINLUPA,PUTATAN,Level 1,25,"(121.044447338918, 14.3926200952398)"
8,ALFONSO SPECIALIST HOSPITAL,Hospital,185 DR. SIXTO ANTONIO AVENUE,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG,ROSARIO,Level 1,22,"(121.0846475, 14.5901099)"
9,"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER - PATEROS, INC.",Hospital,884 P. HERRERA STREET,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",PATEROS,AGUHO,Level 2,58,"(121.065206667458, 14.54411553791)"
10,"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER - QUEZON CITY, INC.",Hospital,NO. 20 SEMINARY ROAD,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,BAHAY TORO,Level 2,100,"(121.017389248848, 14.6605175934352)"
11,"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER VALENZUELA, INC.",Hospital,548 MA ARTHUR HIGHWAY,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",CITY OF VALENZUELA,MALANDAY,Level 2,102,"(120.957650221525, 14.7154398547037)"
12,AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,Hospital,SUMULONG HIGHWAY,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MARIKINA,SANTO NI?O,Level 3,150,"(121.0984565, 14.6361452)"
13,ARMY GENERAL HOSPITAL,Hospital,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF TAGUIG,FORT BONIFACIO,Level 1,200,"(121.04763619149, 14.531164099129)"
14,ASIAN HOSPITAL INC.,Hospital,"2205 CIVIC DRIVE, FILINVEST CORPORATE CITY",NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF MUNTINLUPA,ALABANG,Level 3,296,"(121.043536232041, 14.4134946923385)"
15,"BERMUDEZ POLYMEDIC HOSPITAL, INC.",Hospital,"391 MALARIA ROAD, ZONE 6 DISTRICT 1 TALA",NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",CITY OF CALOOCAN,BARANGAY 185,Level 1,20,"(121.078268078953, 14.7700861510814)"
16,BERNARDINO GENERAL HOSPITAL I,Hospital,680 QUIRINO HIGHWAY,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,SAN BARTOLOME,Level 2,80,"(121.034962378803, 14.7003331264311)"
17,BERNARDINO GENERAL HOSPITAL II,Hospital,"BLOCK 1, LOT 2, NORTH OLYMPUS SUBDIVISION, ZABARTE ROAD",NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,KALIGAYAHAN,Level 1,35,"(121.04671295403, 14.7401336694823)"
18,CALALANG GENERAL HOSPITAL,Hospital,4TH STREET MCARTHUR HIGHWAY,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",CITY OF VALENZUELA,MARULAS,Level 1,24,"(120.9825673, 14.6726295)"
19,CALOOCAN CITY MEDICAL CENTER,Hospital,450 A.MABINI STREET,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",CITY OF CALOOCAN,BARANGAY 15,Level 1,82,"(120.9735064, 14.6483267)"
20,CAMARIN DOCTORS HOSPITAL,Hospital,"NO. 1, CAMARIN ROAD",NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",CITY OF CALOOCAN,BARANGAY 172,Level 2,105,"(121.0401007, 14.7535423)"
21,"CAPITOL MEDICAL CENTER, INC.",Hospital,SCOUT MAGBANUA CORNER PANAY AVENUE,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,PALIGSAHAN,Level 3,300,"(121.022841941459, 14.6343193512725)"
22,CARDINAL SANTOS MEDICAL CENTER,Hospital,10 WILSON STREET,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF SAN JUAN,GREENHILLS,Level 3,245,"(121.0459957, 14.597435)"
23,CHINESE GENERAL HOSPITAL AND MEDICAL CENTER,Hospital,286 BLUMENTRITT STREET,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",SANTA CRUZ,BARANGAY 372,Level 3,592,"(120.9877137, 14.6264242)"
24,"CHRIST THE KING MEDICAL CENTER UNIHEALTH LAS PIÑAS, INC.",Hospital,130 REAL STREET,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF LAS PI?AS,PAMPLONA UNO,Level 2,30,"(120.969959530004, 14.4589924252663)"
25,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,Hospital,"LOT 3 AND 4, BLK. 3 NEOPOLITAN BUSINESS PARK, REGALADO HIGHWAY",NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,GREATER LAGRO,Level 2,148,"(121.0606405, 14.7314054)"
26,CRUZ-RABE MATERNITY AND GENERAL HOSPITAL,Hospital,37 GENERAL LUNA STREET,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF TAGUIG,TUKTUKAN,Level 1,25,"(121.070611903468, 14.5292742908238)"
27,CURE AND CARE MATERNITY HOSPITAL OPC,Hospital,"1068 HERMOSA STREET., MANUGUIT",NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",TONDO I/II,BARANGAY 202,Level 1,18,"(120.978476631546, 14.6328221870748)"
28,DE LOS SANTOS MEDICAL CENTER,Hospital,201 E. RODRIGUEZ SR. BOULEVARD,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,KALUSUGAN,Level 3,150,"(121.0176276, 14.6202051)"
29,DE OCAMPO MEMORIAL MEDICAL CENTER,Hospital,2921 NAGTAHAN STREET SANTA MESA,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",SAMPALOC,BARANGAY 628,Level 1,20,"(120.9996274, 14.5998315)"
30,"DILIMAN DOCTORS HOSPITAL, INC.",Hospital,251 COMMONWEALTH AVENUE,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,MATANDANG BALARA,Level 2,130,"(121.076151506188, 14.6684574578389)"
31,DIVINE HEART MEDICAL SERVICE AND DEVELOPMENT COOPERATIVE HOSPITAL,Hospital,215 GEN. LUIS STREET,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,NAGKAISANG NAYON,Level 1,32,"(121.035900342168, 14.7220803620117)"
32,DR. FE DEL MUNDO MEDICAL CENTER,Hospital,11 BANAWE STREET,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,DO?A JOSEFA,Level 3,107,"(121.009298437398, 14.6205088256014)"
33,DR. JESUS C. DELGADO MEMORIAL HOSPITAL,Hospital,7 KAMUNING ROAD,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,KAMUNING,Level 2,65,"(121.0347676, 14.6277992)"
34,DR. JOSE FABELLA MEMORIAL HOSPITAL,Hospital,LOPE DE VEGA STREET,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",SANTA CRUZ,BARANGAY 311,Level 3,700,"(120.9842536, 14.6061618)"
35,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL AND SANITARIUM,Hospital,DR. UYGUANCO STREET,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",CITY OF CALOOCAN,BARANGAY 188,Level 3,200,"(121.065369854309, 14.766877137376)"
36,DR. MONTANO G. RAMOS GENERAL HOSPITAL CORPORATION,Hospital,46 BUKIDNON STREET,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,RAMON MAGSAYSAY,Level 1,25,"(121.023597427195, 14.6595661166056)"
37,DR. SABILI HEALTH SERVICES CORPORATION,Hospital,313 GENERAL SANTOS AVENUE,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF TAGUIG,LOWER BICUTAN,Level 1,40,"(121.060431328317, 14.4887486864151)"
38,DR. VICTOR R. POTENCIANO MEDICAL CENTER,Hospital,163 EDSA,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MANDALUYONG,HIGHWAY HILLS,Level 3,178,"(121.053728083827, 14.5818533937183)"
39,E. ZARATE HOSPITAL,Hospital,16 J. AGUILAR AVENUE,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF LAS PI?AS,TALON UNO,Level 1,15,"(120.994174177942, 14.4467560281197)"
40,EAST AVENUE MEDICAL CENTER,Hospital,"EAST AVENUE, DILIMAN",NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,CENTRAL,Level 3,600,"(121.0479308, 14.6419083)"
41,"F.Y. MANALO MEDICAL FOUNDATION, INC.",Hospital,"DON MARIANO MARCOS, COMMONWEALTH AVE. COR TANDANG SORA",NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,NEW ERA,Level 2,100,"(121.05091504587, 14.6720815504917)"
42,"FAIRVIEW GENERAL HOSPITAL, INC.",Hospital,"LOT 20 FAIRVIEW AVENUE, CORNER MERCURY STREET",NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,FAIRVIEW,Level 1,30,"(121.071990363395, 14.7056374716741)"
43,"FATIMA UNIVERSITY MEDICAL CENTER, CORPORATION",Hospital,120 MC ARTHUR HIGHWAY,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",CITY OF VALENZUELA,MARULAS,Level 3,150,"(120.985823136361, 14.6822795862425)"
44,"FEU- DR. NICANOR REYES MEDICAL FOUNDATION, INC.",Hospital,REGALADO AVENUE WEST FAIRVIEW,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,FAIRVIEW,Level 3,300,"(121.067118750874, 14.6986521543752)"
45,"FOUNDATION OF OUR LADY OF PEACE MISSION, INC.-OUR LADY OF PEACE HOSPITAL",Hospital,COSTAL ROAD,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF PARA?AQUE,SAN DIONISIO,Level 1,90,"(120.98744979446, 14.4933480273848)"
46,GARCIA GENERAL HOSPITAL,Hospital,"49 BAYAN-BAYANAN AVENUE, MARIKINA HEIGHTS",NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MARIKINA,MARIKINA HEIGHTS,Level 1,24,"(121.1109405, 14.6512142)"
47,GAT ANDRES BONIFACIO MEMORIAL MEDICAL CENTER,Hospital,#8001 DELPAN STREET,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",TONDO I/II,BARANGAY 12,Level 1,150,"(120.9649001, 14.6011078)"
48,"GEN. MIGUEL MALVAR MEDICAL RESEARCH FOUNDATION, INC.",Hospital,531 COMMONWEALTH AVENUE,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,MATANDANG BALARA,Level 1,46,"(121.072674818661, 14.6674330139481)"
49,HOLYLIFE HOSPITAL,Hospital,19 PRESIDENT QUEZON STREET,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG,ROSARIO,Level 1,28,"(121.095304, 14.5920254)"
50,HOSPITAL OF THE INFANT JESUS MEDICAL CENTER,Hospital,1556 LAON-LAAN ROAD,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",SAMPALOC,BARANGAY 490,Level 3,140,"(120.9893004, 14.6140527)"
51,"J.P. SIOSON GENERAL HOSPITAL AND COLLEGES, INC",Hospital,"75 BUKIDNON STREET, BAGO BANTAY",NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,RAMON MAGSAYSAY,Level 1,18,"(121.025241502204, 14.6598196107258)"
52,JOSE R. REYES MEMORIAL MEDICAL CENTER,Hospital,"SAN LAZARO COMPOUND, RIZAL AVENUE",NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",SANTA CRUZ,BARANGAY 331,Level 3,450,"(120.9819037, 14.614062)"
53,JUSTICE JOSE ABAD SANTOS GENERAL HOSPITAL,Hospital,NUMANCIA STREET,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",BINONDO,BARANGAY 292,Level 1,150,"(120.971947315701, 14.5976669455697)"
54,LAS PIÑAS CITY MEDICAL CENTER,Hospital,1314 MARCOS ALVAREZ AVENUE,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF LAS PI?AS,TALON SINGKO,Level 2,66,"(121.0034986, 14.4297133)"
55,"LAS PIÑAS DOCTORS HOSPITAL, INC.",Hospital,"8009 J.I. AGUILAR AVENUE, CAA ROAD",NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF LAS PI?AS,PULANG LUPA DOS,Level 3,130,"(120.994262862813, 14.4559467300816)"
56,LAS PIÑAS GENERAL HOSPITAL AND SATELLITE TRAUMA CENTER,Hospital,BERNABE COMPOUND,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF LAS PI?AS,PULANG LUPA UNO,Level 3,200,"(120.973809938113, 14.4717068219051)"
57,LUNG CENTER OF THE PHILIPPINES,Hospital,QUEZON AVENUE EXTENSION,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,CENTRAL,Level 3,210,"(121.0458558, 14.6474563)"
58,MAKATI MEDICAL CENTER,Hospital,"2 AMORSOLO STREET, LEGASPI VILLAGE",NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF MAKATI,SAN LORENZO,Level 3,600,"(121.0147996, 14.5593106)"
59,MANDALUYONG CITY MEDICAL CENTER,Hospital,605 BONI AVENUE,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MANDALUYONG,PLAINVIEW,Level 2,150,"(121.0354241, 14.576313)"
60,"MANILA CENTRAL UNIVERSITY - DR. FILEMON D. TANCHOCO, SR. MEDICAL FOUNDATION, INC.",Hospital,"SAMSON ROAD, EDSA",NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",CITY OF CALOOCAN,BARANGAY 81,Level 3,215,"(120.987138354859, 14.6575828050369)"
61,MANILA DOCTORS HOSPITAL,Hospital,667 UNITED NATIONS AVENUE,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",ERMITA,BARANGAY 667,Level 3,300,"(120.9828671, 14.5819835)"
62,MANILA NAVAL HOSPITAL,Hospital,"NAVAL STATION, JOSE FRANCISCO",NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF TAGUIG,FORT BONIFACIO,Level 1,65,"(121.031513001577, 14.5301452914742)"
63,"MARIKINA DOCTORS HOSPITAL AND MEDICAL CENTER, INC.",Hospital,10 EVANGELISTA ROAD,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG,SANTOLAN,Level 1,54,"(121.082533475408, 14.620403909241)"
64,"MARIKINA ST. VINCENT GENERAL HOSPITAL, INC.",Hospital,35 BAYAN-BAYANAN AVENUE,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MARIKINA,CONCEPCION UNO,Level 2,90,"(121.107309125776, 14.6512220515187)"
65,MARIKINA VALLEY MEDICAL CENTER,Hospital,"SUMULONG HIGHWAY, COR. AGUINALDO STREET",NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MARIKINA,SANTO NI?O,Level 2,110,"(121.1039172, 14.6349526)"
66,"MARTINEZ MEMORIAL HOSPITAL, INC.",Hospital,198 A. MABINI STREET MAYPAJO,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",CITY OF CALOOCAN,BARANGAY 32,Level 1,33,"(120.97574055954, 14.6384622676854)"
67,"MARY CHILES GENERAL HOSPITAL, INC.",Hospital,667 GASTAMBIDE STREET,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",SAMPALOC,BARANGAY 404,Level 3,100,"(120.989767020881, 14.6032986204111)"
68,"MARY JOHNSTON HOSPITAL, INC.",Hospital,1221 JUAN NOLASCO STREET,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",TONDO I/II,BARANGAY 47,Level 3,120,"(120.966289297103, 14.6090387014713)"
69,MEDICAL CENTER MANILA INC.,Hospital,850 UNITED NATIONS AVE,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",ERMITA,BARANGAY 666,Level 3,200,"(120.985602721156, 14.5825558448682)"
70,"MEDICAL CENTER MUNTINLUPA, INC",Hospital,38 NATIONAL ROAD,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF MUNTINLUPA,PUTATAN,Level 2,95,"(121.045020780569, 14.3951537850402)"
71,"MEDICAL CENTER OF TAGUIG CITY, INC.",Hospital,LEVI MARIANO AVENUE,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF TAGUIG,USUSAN,Level 2,50,"(121.065422577805, 14.5306976627559)"
72,"MEDICAL CENTER PARAÑAQUE, INC.",Hospital,"DR. A. SANTOS AVENUE, SUCAT",NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF PARA?AQUE,SAN ANTONIO,Level 1,56,"(121.033469059329, 14.458390060043)"
73,METRO NORTH MEDICAL CENTER AND HOSPITAL INC.,Hospital,1001 MINDANAO AVENUE,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,BAHAY TORO,Level 2,80,"(121.033580790169, 14.6688589626983)"
74,METROPOLITAN MEDICAL CENTER,Hospital,1357 G. MASANGKAY STREET,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",TONDO I/II,BARANGAY 262,Level 3,300,"(120.9783605, 14.6096312)"
75,MISSION HOSPITAL,Hospital,KM. 17 ORTIGAS AVENUE EXTENSION,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG,ROSARIO,Level 1,30,"(121.097519817901, 14.5898789017511)"
